ms-evento-service  | 
ms-evento-service  | 2026-06-18T22:55:29.146Z  WARN 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Could not locate PropertySource ([ConfigServerConfigDataResource@36c54a56 uris = array<String>['http://root:123456@localhost:7075'], optional = true, profiles = 'prod']): I/O error on GET request for "http://localhost:7075/ms-events-service/prod": Connection refused
ms-evento-service  | 2026-06-18T22:55:29.147Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://localhost:7075
ms-evento-service  | 2026-06-18T22:55:29.147Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Exception on Url - http://localhost:7075:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:7075/ms-events-service/default": Connection refused. Will be trying the next url if available
ms-evento-service  | 2026-06-18T22:55:29.147Z  WARN 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Could not locate PropertySource ([ConfigServerConfigDataResource@3359c978 uris = array<String>['http://root:123456@localhost:7075'], optional = true, profiles = 'default']): I/O error on GET request for "http://localhost:7075/ms-events-service/default": Connection refused
ms-evento-service  | 2026-06-18T22:55:44.995Z  INFO 1 --- [ms-events-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
ms-evento-service  | 2026-06-18T22:55:47.230Z  INFO 1 --- [ms-events-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 1988 ms. Found 2 JPA repository interfaces.
ms-evento-service  | 2026-06-18T22:55:51.469Z  INFO 1 --- [ms-events-service] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=31491e4a-64a8-3cfa-9852-7e3eb0e6b60c
ms-evento-service  | 2026-06-18T22:55:57.740Z  INFO 1 --- [ms-events-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8096 (http)
ms-evento-service  | 2026-06-18T22:55:57.946Z  INFO 1 --- [ms-events-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
ms-evento-service  | 2026-06-18T22:55:57.947Z  INFO 1 --- [ms-events-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.46]
ms-evento-service  | 2026-06-18T22:55:58.386Z  INFO 1 --- [ms-events-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
ms-evento-service  | 2026-06-18T22:55:58.408Z  INFO 1 --- [ms-events-service] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 29234 ms
ms-evento-service  | 2026-06-18T22:56:04.193Z  INFO 1 --- [ms-events-service] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
ms-evento-service  | 2026-06-18T22:56:04.996Z  INFO 1 --- [ms-events-service] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.29.Final
ms-evento-service  | 2026-06-18T22:56:05.345Z  INFO 1 --- [ms-events-service] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
ms-evento-service  | 2026-06-18T22:56:08.953Z  INFO 1 --- [ms-events-service] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
ms-evento-service  | 2026-06-18T22:56:09.426Z  INFO 1 --- [ms-events-service] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
ms-evento-service  | 2026-06-18T22:56:12.220Z  WARN 1 --- [ms-events-service] [           main] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: 08S01
ms-evento-service  | 2026-06-18T22:56:12.229Z ERROR 1 --- [ms-events-service] [           main] o.h.engine.jdbc.spi.SqlExceptionHelper   : Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
ms-evento-service  | 2026-06-18T22:56:12.232Z  WARN 1 --- [ms-events-service] [           main] o.h.e.j.e.i.JdbcEnvironmentInitiator     : HHH000342: Could not obtain connection to query metadata
ms-evento-service  | 
ms-evento-service  | org.hibernate.exception.JDBCConnectionException: unable to obtain isolated JDBC connection [Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.] [n/a]
ms-evento-service  | 	at org.hibernate.exception.internal.SQLStateConversionDelegate.convert(SQLStateConversionDelegate.java:100) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.exception.internal.StandardSQLExceptionConverter.convert(StandardSQLExceptionConverter.java:58) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.spi.SqlExceptionHelper.convert(SqlExceptionHelper.java:108) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.spi.SqlExceptionHelper.convert(SqlExceptionHelper.java:94) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.resource.transaction.backend.jdbc.internal.JdbcIsolationDelegate.delegateWork(JdbcIsolationDelegate.java:116) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.getJdbcEnvironmentUsingJdbcMetadata(JdbcEnvironmentInitiator.java:334) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.initiateService(JdbcEnvironmentInitiator.java:129) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.initiateService(JdbcEnvironmentInitiator.java:81) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.boot.registry.internal.StandardServiceRegistryImpl.initiateService(StandardServiceRegistryImpl.java:130) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.service.internal.AbstractServiceRegistryImpl.createService(AbstractServiceRegistryImpl.java:263) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.service.internal.AbstractServiceRegistryImpl.initializeService(AbstractServiceRegistryImpl.java:238) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.service.internal.AbstractServiceRegistryImpl.getService(AbstractServiceRegistryImpl.java:215) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.boot.model.relational.Database.<init>(Database.java:45) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.boot.internal.InFlightMetadataCollectorImpl.getDatabase(InFlightMetadataCollectorImpl.java:226) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.boot.internal.InFlightMetadataCollectorImpl.<init>(InFlightMetadataCollectorImpl.java:194) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.boot.model.process.spi.MetadataBuildingProcess.complete(MetadataBuildingProcess.java:171) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl.metadata(EntityManagerFactoryBuilderImpl.java:1442) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl.build(EntityManagerFactoryBuilderImpl.java:1513) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.springframework.orm.jpa.vendor.SpringHibernateJpaPersistenceProvider.createContainerEntityManagerFactory(SpringHibernateJpaPersistenceProvider.java:66) ~[spring-orm-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean.createNativeEntityManagerFactory(LocalContainerEntityManagerFactoryBean.java:390) ~[spring-orm-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.orm.jpa.AbstractEntityManagerFactoryBean.buildNativeEntityManagerFactory(AbstractEntityManagerFactoryBean.java:419) ~[spring-orm-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.orm.jpa.AbstractEntityManagerFactoryBean.afterPropertiesSet(AbstractEntityManagerFactoryBean.java:400) ~[spring-orm-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean.afterPropertiesSet(LocalContainerEntityManagerFactoryBean.java:366) ~[spring-orm-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1873) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1822) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:607) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:529) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:339) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:373) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:337) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:207) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:970) ~[spring-context-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:627) ~[spring-context-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:146) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:752) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:439) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:318) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1361) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1350) ~[spring-boot-3.5.6.jar!/:3.5.6]
ms-evento-service  | 	at com.emm.mseventoservice.MsEventoServiceApplication.main(MsEventoServiceApplication.java:12) ~[!/:0.0.1-SNAPSHOT]
ms-evento-service  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:na]
ms-evento-service  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[na:na]
ms-evento-service  | 	at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:102) ~[app.jar:0.0.1-SNAPSHOT]
ms-evento-service  | 	at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:64) ~[app.jar:0.0.1-SNAPSHOT]
ms-evento-service  | 	at org.springframework.boot.loader.launch.JarLauncher.main(JarLauncher.java:40) ~[app.jar:0.0.1-SNAPSHOT]
ms-evento-service  | Caused by: com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
ms-evento-service  | 	at com.mysql.cj.jdbc.exceptions.SQLError.createCommunicationsException(SQLError.java:165) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:55) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:861) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:449) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:234) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:180) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.zaxxer.hikari.util.DriverDataSource.getConnection(DriverDataSource.java:144) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.pool.PoolBase.newConnection(PoolBase.java:370) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.pool.PoolBase.newPoolEntry(PoolBase.java:207) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.pool.HikariPool.createPoolEntry(HikariPool.java:488) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.pool.HikariPool.checkFailFast(HikariPool.java:576) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.pool.HikariPool.<init>(HikariPool.java:97) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at com.zaxxer.hikari.HikariDataSource.getConnection(HikariDataSource.java:111) ~[HikariCP-6.3.3.jar!/:na]
ms-evento-service  | 	at org.hibernate.engine.jdbc.connections.internal.DatasourceConnectionProviderImpl.getConnection(DatasourceConnectionProviderImpl.java:126) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess.obtainConnection(JdbcEnvironmentInitiator.java:485) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	at org.hibernate.resource.transaction.backend.jdbc.internal.JdbcIsolationDelegate.delegateWork(JdbcIsolationDelegate.java:61) ~[hibernate-core-6.6.29.Final.jar!/:6.6.29.Final]
ms-evento-service  | 	... 42 common frames omitted
ms-evento-service  | Caused by: com.mysql.cj.exceptions.CJCommunicationsException: Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
ms-evento-service  | 	at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[na:na]
ms-evento-service  | 	at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/jdk.internal.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/java.lang.reflect.Constructor.newInstanceWithCaller(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/java.lang.reflect.Constructor.newInstance(Unknown Source) ~[na:na]
ms-evento-service  | 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:52) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:95) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:140) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.exceptions.ExceptionFactory.createCommunicationsException(ExceptionFactory.java:156) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.protocol.a.NativeSocketConnection.connect(NativeSocketConnection.java:79) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.NativeSession.connect(NativeSession.java:139) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:980) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:851) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	... 55 common frames omitted
ms-evento-service  | Caused by: java.net.SocketException: Network unreachable
ms-evento-service  | 	at java.base/sun.nio.ch.Net.connect0(Native Method) ~[na:na]
ms-evento-service  | 	at java.base/sun.nio.ch.Net.connect(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/sun.nio.ch.Net.connect(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/sun.nio.ch.NioSocketImpl.connect(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/java.net.SocksSocketImpl.connect(Unknown Source) ~[na:na]
ms-evento-service  | 	at java.base/java.net.Socket.connect(Unknown Source) ~[na:na]
ms-evento-service  | 	at com.mysql.cj.protocol.StandardSocketFactory.connect(StandardSocketFactory.java:144) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	at com.mysql.cj.protocol.a.NativeSocketConnection.connect(NativeSocketConnection.java:53) ~[mysql-connector-j-8.4.0.jar!/:8.4.0]
ms-evento-service  | 	... 58 common frames omitted
ms-evento-service  | 
ms-evento-service  | 2026-06-18T22:56:12.414Z  WARN 1 --- [ms-events-service] [           main] org.hibernate.orm.deprecation            : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
ms-evento-service  | 2026-06-18T22:56:12.507Z  INFO 1 --- [ms-events-service] [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
ms-evento-service  | 	Database JDBC URL [Connecting through datasource 'HikariDataSource (null)']
ms-evento-service  | 	Database driver: undefined/unknown
ms-evento-service  | 	Database version: 8.0
ms-evento-service  | 	Autocommit mode: undefined/unknown
ms-evento-service  | 	Isolation level: undefined/unknown
ms-evento-service  | 	Minimum pool size: undefined/unknown
ms-evento-service  | 	Maximum pool size: undefined/unknown
ms-evento-service  | 2026-06-18T22:56:19.473Z  INFO 1 --- [ms-events-service] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
ms-evento-service  | 2026-06-18T22:56:19.596Z  INFO 1 --- [ms-events-service] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
ms-evento-service  | 2026-06-18T22:56:20.612Z  WARN 1 --- [ms-events-service] [           main] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Error: 0, SQLState: 08S01
ms-evento-service  | 2026-06-18T22:56:20.612Z ERROR 1 --- [ms-events-service] [           main] o.h.engine.jdbc.spi.SqlExceptionHelper   : Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
ms-evento-service  | 2026-06-18T22:56:20.627Z ERROR 1 --- [ms-events-service] [           main] j.LocalContainerEntityManagerFactoryBean : Failed to initialize JPA EntityManagerFactory: [PersistenceUnit: default] Unable to build Hibernate SessionFactory; nested exception is org.hibernate.exception.JDBCConnectionException: Unable to open JDBC Connection for DDL execution [Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.] [n/a]
ms-evento-service  | 2026-06-18T22:56:20.630Z  WARN 1 --- [ms-events-service] [           main] ConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/autoconfigure/orm/jpa/HibernateJpaConfiguration.class]: [PersistenceUnit: default] Unable to build Hibernate SessionFactory; nested exception is org.hibernate.exception.JDBCConnectionException: Unable to open JDBC Connection for DDL execution [Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.] [n/a]
ms-evento-service  | 2026-06-18T22:56:20.649Z  INFO 1 --- [ms-events-service] [           main] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
ms-evento-service  | 2026-06-18T22:56:20.757Z  INFO 1 --- [ms-events-service] [           main] .s.b.a.l.ConditionEvaluationReportLogger : 
ms-evento-service  | 
ms-evento-service  | Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
ms-evento-service  | 2026-06-18T22:56:20.856Z ERROR 1 --- [ms-events-service] [           main] o.s.boot.SpringApplication               : Application run failed
ms-evento-service  | 
ms-evento-service  | org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/autoconfigure/orm/jpa/HibernateJpaConfiguration.class]: [PersistenceUnit: default] Unable to build Hibernate SessionFactory; nested exception is org.hibernate.exception.JDBCConnectionException: Unable to open JDBC Connection for DDL execution [Communications link failure
ms-evento-service  | 
ms-evento-service  | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.] [n/a]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1826) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:607) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:529) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:339) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:373) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:337) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:207) ~[spring-beans-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:970) ~[spring-context-6.2.11.jar!/:6.2.11]
ms-evento-service  | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:627) ~[spring-context-6.2.11.jar!/:6.2.11]
